,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice
13,14,20,RL,91.0,10652,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,SBrkr,1494,0,1494,0,2,0,3,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,TA,Y,160,33,0,0,,8,2007,New,Partial,279500
14,15,20,RL,,10920,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,TA,SBrkr,1253,0,1253,1,1,1,2,TA,5,1,Fa,Attchd,1960.0,RFn,1,352,TA,Y,0,213,176,0,GdWo,5,2008,WD,Normal,157000
15,16,45,RM,51.0,6120,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,Ex,FuseA,854,0,854,0,1,0,2,TA,5,0,,Detchd,1991.0,Unf,2,576,TA,Y,48,112,0,0,GdPrv,7,2007,WD,Normal,132000
16,17,20,RL,,11241,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,SBrkr,1004,0,1004,1,1,0,2,TA,5,1,TA,Attchd,1970.0,Fin,2,480,TA,Y,0,0,0,0,,3,2010,WD,Normal,149000
17,18,90,RL,72.0,10791,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,,,0,,0,0,0,TA,SBrkr,1296,0,1296,0,2,0,2,TA,6,0,,CarPort,1967.0,Unf,2,516,TA,Y,0,0,0,0,,10,2006,WD,Normal,90000
18,19,20,RL,66.0,13695,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,SBrkr,1114,0,1114,1,1,1,3,Gd,6,0,,Detchd,2004.0,Unf,2,576,TA,Y,0,102,0,0,,6,2008,WD,Normal,159000
19,20,20,RL,70.0,7560,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,TA,SBrkr,1339,0,1339,0,1,0,3,TA,6,0,,Attchd,1958.0,Unf,1,294,TA,Y,0,0,0,0,MnPrv,5,2009,COD,Abnorml,139000
20,21,60,RL,101.0,14215,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,SBrkr,1158,1218,2376,0,3,1,4,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,Y,240,154,0,0,,11,2006,New,Partial,325300
21,22,45,RM,57.0,7449,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,Ex,FuseF,1108,0,1108,0,1,0,3,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,TA,N,0,0,205,0,GdPrv,6,2007,WD,Normal,139400
22,23,20,RL,75.0,9742,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,SBrkr,1795,0,1795,0,2,0,3,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,TA,Y,171,159,0,0,,9,2008,WD,Normal,230000
23,24,120,RM,44.0,4224,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,SBrkr,1060,0,1060,1,1,0,3,TA,6,1,TA,Attchd,1976.0,Unf,2,572,TA,Y,100,110,0,0,,6,2007,WD,Normal,129900
24,25,20,RL,,8246,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Ex,SBrkr,1060,0,1060,1,1,0,3,Gd,6,1,TA,Attchd,1968.0,Unf,1,270,TA,Y,406,90,0,0,MnPrv,5,2010,WD,Normal,154000
25,26,20,RL,110.0,14230,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,SBrkr,1600,0,1600,0,2,0,3,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,TA,Y,0,56,0,0,,7,2009,WD,Normal,256300
26,27,20,RL,60.0,7200,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,TA,SBrkr,900,0,900,0,1,0,3,Gd,5,0,,Detchd,2005.0,Unf,2,576,TA,Y,222,32,0,0,,5,2010,WD,Normal,134800
27,28,20,RL,98.0,11478,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,SBrkr,1704,0,1704,1,2,0,3,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,TA,Y,0,50,0,0,,5,2010,WD,Normal,306000
28,29,20,RL,47.0,16321,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,TA,SBrkr,1600,0,1600,1,1,0,2,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,TA,Y,288,258,0,0,,12,2006,WD,Normal,207500
29,30,30,RM,60.0,6324,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,Fa,SBrkr,520,0,520,0,1,0,1,Fa,4,0,,Detchd,1920.0,Unf,1,240,Fa,Y,49,0,87,0,,5,2008,WD,Normal,68500
30,31,70,C (all),50.0,8500,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,TA,SBrkr,649,668,1317,0,1,0,3,TA,6,0,,Detchd,1920.0,Unf,1,250,TA,N,0,54,172,0,MnPrv,7,2008,WD,Normal,40000
31,32,20,RL,,8544,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,SBrkr,1228,0,1228,0,1,1,3,Gd,6,0,,Attchd,1966.0,Unf,1,271,TA,Y,0,65,0,0,MnPrv,6,2008,WD,Normal,149350
32,33,20,RL,85.0,11049,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,SBrkr,1234,0,1234,0,2,0,3,Gd,7,0,,Attchd,2007.0,RFn,2,484,TA,Y,0,30,0,0,,1,2008,WD,Normal,179900
33,34,20,RL,70.0,10552,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,Gd,SBrkr,1700,0,1700,0,1,1,4,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,TA,Y,0,38,0,0,,4,2010,WD,Normal,165500
34,35,120,RL,60.0,7313,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,SBrkr,1561,0,1561,1,2,0,2,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,TA,Y,203,47,0,0,,8,2007,WD,Normal,277500
35,36,60,RL,108.0,13418,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,SBrkr,1132,1320,2452,0,3,1,4,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,Y,113,32,0,0,,9,2006,WD,Normal,309000
36,37,20,RL,112.0,10859,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,SBrkr,1097,0,1097,0,1,1,3,TA,6,0,,Attchd,1995.0,Unf,2,672,TA,Y,392,64,0,0,,6,2009,WD,Normal,145000
37,38,20,RL,74.0,8532,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,Gd,SBrkr,1297,0,1297,0,1,0,3,TA,5,1,TA,Attchd,1954.0,Fin,2,498,TA,Y,0,0,0,0,,10,2009,WD,Normal,153000
38,39,20,RL,68.0,7922,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,SBrkr,1057,0,1057,1,1,0,3,Gd,5,0,,Detchd,1953.0,Unf,1,246,TA,Y,0,52,0,0,,1,2010,WD,Abnorml,109000
39,40,90,RL,65.0,6040,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,None,0.0,TA,TA,PConc,,,,,0,,0,0,0,TA,FuseP,1152,0,1152,0,2,0,2,Fa,6,0,,,,,0,0,,N,0,0,0,0,,6,2008,WD,AdjLand,82000
40,41,20,RL,84.0,8658,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,Ex,SBrkr,1324,0,1324,0,2,0,3,TA,6,1,TA,Attchd,1965.0,RFn,2,440,TA,Y,0,138,0,0,GdWo,12,2006,WD,Abnorml,160000
41,42,20,RL,115.0,16905,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Gd,SBrkr,1328,0,1328,0,1,1,2,TA,5,2,Gd,Attchd,1959.0,RFn,1,308,TA,P,0,104,0,0,,7,2007,WD,Normal,170000
42,43,85,RL,,9180,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Gd,SBrkr,884,0,884,1,1,0,2,Gd,5,0,,Attchd,1983.0,RFn,2,504,TA,Y,240,0,0,0,MnPrv,12,2007,WD,Normal,144000
43,44,20,RL,,9200,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,TA,SBrkr,938,0,938,1,1,0,3,TA,5,0,,Detchd,1977.0,Unf,1,308,TA,Y,145,0,0,0,MnPrv,7,2008,WD,Normal,130250
44,45,20,RL,70.0,7945,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,Ex,FuseA,1150,0,1150,1,1,0,3,TA,6,0,,Attchd,1959.0,RFn,1,300,TA,Y,0,0,0,0,,5,2006,WD,Normal,141000
45,46,120,RL,61.0,7658,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,SBrkr,1752,0,1752,1,2,0,2,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576,TA,Y,196,82,0,0,,2,2010,WD,Normal,319900
46,47,50,RL,48.0,12822,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,SBrkr,1518,631,2149,1,1,1,1,Gd,6,1,Ex,Attchd,2003.0,RFn,2,670,TA,Y,168,43,0,198,,8,2009,WD,Abnorml,239686
47,48,20,FV,84.0,11096,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,SBrkr,1656,0,1656,0,2,0,3,Gd,7,0,,Attchd,2006.0,RFn,3,826,TA,Y,0,146,0,0,,7,2007,WD,Normal,249700
48,49,190,RM,33.0,4456,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,Gd,SBrkr,736,716,1452,0,2,0,2,TA,8,0,,,,,0,0,,N,0,0,102,0,,6,2009,New,Partial,113000
49,50,20,RL,66.0,7742,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,Ex,SBrkr,955,0,955,1,1,0,3,TA,6,0,,Attchd,1966.0,Unf,1,386,TA,Y,0,0,0,0,MnPrv,1,2007,WD,Normal,127000
50,51,60,RL,,13869,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,SBrkr,794,676,1470,0,2,0,3,TA,6,0,,Attchd,1997.0,Fin,2,388,TA,Y,0,75,0,0,,7,2007,WD,Normal,177000
51,52,50,RM,52.0,6240,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,TA,SBrkr,816,0,1176,0,1,0,3,TA,6,1,Gd,Detchd,1985.0,Unf,2,528,TA,Y,112,0,0,0,MnPrv,9,2006,WD,Normal,114500
52,53,90,RM,110.0,8472,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,TA,SBrkr,816,0,816,1,1,0,2,TA,5,0,,CarPort,1963.0,Unf,2,516,TA,Y,106,0,0,0,,5,2010,WD,Normal,110000
53,54,20,RL,68.0,50271,IR1,Low,Inside,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,None,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Gd,SBrkr,1842,0,1842,2,0,1,0,Gd,5,1,Gd,Attchd,1981.0,Fin,3,894,TA,Y,857,72,0,0,,11,2006,WD,Normal,385000
54,55,80,RL,60.0,7134,Reg,Bnk,Inside,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,384,TA,SBrkr,1360,0,1360,0,1,0,3,TA,6,1,TA,Detchd,1962.0,Unf,2,572,TA,Y,0,50,0,0,MnPrv,2,2007,WD,Normal,130000
55,56,20,RL,100.0,10175,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,BrkFace,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,1425,Gd,SBrkr,1425,0,1425,0,2,0,3,TA,7,1,Gd,Attchd,1964.0,RFn,2,576,TA,Y,0,0,0,0,,7,2008,WD,Normal,180500
56,57,160,FV,24.0,2645,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,970,Ex,SBrkr,983,756,1739,1,2,1,3,Gd,7,0,,Attchd,1999.0,Fin,2,480,TA,Y,115,0,0,0,,8,2009,WD,Abnorml,172500
57,58,60,RL,89.0,11645,IR1,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,860,Ex,SBrkr,860,860,1720,0,2,1,3,Gd,7,0,,Attchd,2004.0,RFn,2,565,TA,Y,0,70,0,0,,8,2006,WD,Normal,196500
58,59,60,RL,66.0,13682,IR2,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,Ex,SBrkr,1426,1519,2945,0,3,1,3,Gd,10,1,Gd,BuiltIn,2006.0,Fin,3,641,TA,Y,192,0,37,0,,10,2006,New,Partial,438780
59,60,20,RL,60.0,7200,Reg,Bnk,Inside,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,780,Ex,SBrkr,780,0,780,0,1,0,2,TA,4,0,,Detchd,1973.0,Unf,1,352,TA,Y,196,0,0,0,MnPrv,1,2008,WD,Normal,124900
60,61,20,RL,63.0,13072,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,941,Unf,0,217,1158,Ex,SBrkr,1158,0,1158,1,1,1,3,Gd,5,0,,Detchd,2006.0,Unf,2,576,TA,Y,0,50,0,0,,5,2006,New,Partial,158000
61,62,75,RM,60.0,7200,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,0,530,530,TA,SBrkr,581,530,1111,0,1,0,3,Fa,6,0,,Detchd,1935.0,Unf,1,288,TA,N,0,0,144,0,,3,2007,WD,Normal,101000
62,63,120,RL,44.0,6442,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,Ex,SBrkr,1370,0,1370,0,2,0,2,Gd,6,1,Gd,Attchd,2006.0,RFn,2,484,TA,Y,120,49,0,0,,10,2007,WD,Normal,202500
63,64,70,RM,50.0,10300,IR1,Bnk,Inside,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,576,576,Gd,SBrkr,902,808,1710,0,2,0,3,TA,9,0,,Detchd,1990.0,Unf,2,480,TA,Y,12,11,64,0,GdPrv,4,2010,WD,Normal,140000
